Type,Size,Compression,Quality,CompressionRate,CompressionDurationSec
"JPG","01MB","zip","5","0.0013789246129818356","1.489",
"JPG","01MB","zip","11","0.0013789246129818356","1.29",
"JPG","01MB","tgz","5","0.0009783107254207613","1.904",
"JPG","01MB","tgz","11","0.0009773430590257481","1.66",
"JPG","30MB","zip","5","0.0037894628534814734","5.23",
"JPG","30MB","zip","11","0.0037894628534814734","3.646",
"JPG","30MB","tgz","5","0.00271734717593497","3.389",
"JPG","30MB","tgz","11","0.0027174446114706097","3.418",
"MP3","01MB","zip","5","0.006352716024832006","1.373",
"MP3","01MB","zip","11","0.006352716024832006","1.285",
"MP3","01MB","tgz","5","0.008832569064743945","1.244",
"MP3","01MB","tgz","11","0.008831584605418885","1.266",
"MP3","30MB","zip","5","0.0034960441695133238","3.772",
"MP3","30MB","zip","11","0.0034960441695133238","4.09",
"MP3","30MB","tgz","5","0.004567387190508754","3.667",
"MP3","30MB","tgz","11","0.004567964630153631","3.592",
"MP4","01MB","zip","5","0.0009282623686224234","1.333",
"MP4","01MB","zip","11","0.0009282623686224234","1.254",
"MP4","01MB","tgz","5","0.001154644721786502","1.286",
"MP4","01MB","tgz","11","0.001154644721786502","1.248",
"MP4","30MB","zip","5","0.0012894107007275224","3.557",
"MP4","30MB","zip","11","0.0012894107007275224","3.582",
"MP4","30MB","tgz","5","0.0013808332695587344","5.029",
"MP4","30MB","tgz","11","0.0013807380046381157","4.151",
